leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2019_BNZ_1_1,2019,BNZ,1,1,0.0,54,4,100,0,2,0,25,1,0,,2019-06-17
leaf_2019_BNZ_1_2,2019,BNZ,1,2,0.0,66,2,60,0,2,0,0,1,0,,2019-06-17
leaf_2019_BNZ_1_3,2019,BNZ,1,3,0.0,64,2,65,10,5,1,0,0,0,,2019-06-17
leaf_2019_BNZ_1_4,2019,BNZ,1,4,0.0,65,2,50,25,3,2,5,0,0,,2019-06-17
leaf_2019_BNZ_1_5,2019,BNZ,1,5,0.0,70,0,50,1,2,2,30,1,0,,2019-06-17
leaf_2019_BNZ_1_6,2019,BNZ,1,6,0.0,61,2,60,30,7,3,0,1,0,,2019-06-17
leaf_2019_BNZ_1_7,2019,BNZ,1,7,0.0,60,2,25,30,4,2,0,3,0,,2019-06-17
leaf_2019_BNZ_1_8,2019,BNZ,1,8,0.0,32,2,75,50,,,0,2,0,,2019-06-17
leaf_2019_BNZ_1_9,2019,BNZ,1,9,0.0,48,2,1,0,1,0,0,1,0,,2019-06-17
leaf_2019_BNZ_1_10,2019,BNZ,1,10,0.0,51,2,15,1,2,1,0,2,0,,2019-06-17
leaf_2019_BNZ_1_11,2019,BNZ,1,11,0.0,45,2,0,0,0,0,0,0,0,,2019-06-17
leaf_2019_BNZ_1_12,2019,BNZ,1,12,0.0,38,0,0,0,0,0,0,1,0,,2019-06-17
leaf_2019_BNZ_1_13,2019,BNZ,1,13,0.0,27,2,0,0,0,0,0,0,0,,2019-06-17
leaf_2019_BNZ_1_14,2019,BNZ,1,14,0.0,18,2,0,0,0,0,0,0,0,,2019-06-17
leaf_2019_BNZ_2_1,2019,BNZ,2,1,0.0,25,2,100,0,1,0,0,0,0,,2019-06-17
leaf_2019_BNZ_2_2,2019,BNZ,2,2,0.0,29,2,100,0,1,0,0,0,0,,2019-06-17
leaf_2019_BNZ_2_3,2019,BNZ,2,3,0.0,31,2,90,0,1,0,0,0,0,,2019-06-17
leaf_2019_BNZ_2_4,2019,BNZ,2,4,0.0,29,2,0,0,0,0,0,0,0,,2019-06-17
leaf_2019_BNZ_2_5,2019,BNZ,2,5,0.0,31,0,0,0,0,0,0,0,0,,2019-06-17
leaf_2019_BNZ_2_6,2019,BNZ,2,6,0.0,30,1,0,0,0,0,0,0,0,,2019-06-17
leaf_2019_BNZ_2_7,2019,BNZ,2,7,0.0,30,0,1,0,1,0,0,1,0,,2019-06-17
leaf_2019_BNZ_2_8,2019,BNZ,2,8,0.0,31,0,0,0,0,0,0,0,0,,2019-06-17
leaf_2019_BNZ_2_9,2019,BNZ,2,9,0.0,30,0,0,1,0,1,50,1,0,,2019-06-17
leaf_2019_BNZ_2_10,2019,BNZ,2,10,1.0,,,,,,,,,,,2019-06-17
leaf_2019_BNZ_2_11,2019,BNZ,2,11,0.0,19,2,0,0,0,0,5,0,0,,2019-06-17
leaf_2019_BNZ_2_12,2019,BNZ,2,12,0.0,18,2,0,0,0,0,0,0,0,,2019-06-17
leaf_2019_BNZ_2_13,2019,BNZ,2,13,0.0,8,0,0,0,0,0,0,0,0,,2019-06-17
leaf_2019_BNZ_3_1,2019,BNZ,3,1,0.0,30,2,0,0,0,0,15,0,0,,2019-06-17
