leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2023_BNZ_1_1,2023,BNZ,1,1,0.0,42,2,100,15,8,3,0,0,0,0,2023-07-03
leaf_2023_BNZ_1_2,2023,BNZ,1,2,0.0,49,2,100,50,9,5,0,0,0,0,2023-07-03
leaf_2023_BNZ_1_3,2023,BNZ,1,3,0.0,52,2,95,85,9,4,0,0,0,1,2023-07-03
leaf_2023_BNZ_1_4,2023,BNZ,1,4,0.0,42,2,98,98,8,4,0,0,0,0,2023-07-03
leaf_2023_BNZ_1_5,2023,BNZ,1,5,0.0,53,0,90,75,11,10,0,0,0,0,2023-07-03
leaf_2023_BNZ_1_6,2023,BNZ,1,6,0.0,42,0,95,95,10,6,0,0,0,1,2023-07-03
leaf_2023_BNZ_1_7,2023,BNZ,1,7,0.0,15,2,100,90,2,2,0,0,0,0,2023-07-03
leaf_2023_BNZ_1_8,2023,BNZ,1,8,1.0,,,,,,,100,,,,2023-07-03
leaf_2023_BNZ_1_9,2023,BNZ,1,9,1.0,,,,,,,100,,,,2023-07-03
leaf_2023_BNZ_2_1,2023,BNZ,2,1,0.0,48,2,30,95,8,6,0,0,0,0,2023-07-03
leaf_2023_BNZ_2_2,2023,BNZ,2,2,0.0,47,3,98,75,7,8,0,0,0,0,2023-07-03
leaf_2023_BNZ_2_3,2023,BNZ,2,3,0.0,52,2,90,90,16,10,0,0,0,0,2023-07-03
leaf_2023_BNZ_2_4,2023,BNZ,2,4,0.0,44,2,90,10,10,6,15,0,0,0,2023-07-03
leaf_2023_BNZ_2_5,2023,BNZ,2,5,0.0,54,2,95,35,19,8,0,0,0,0,2023-07-03
leaf_2023_BNZ_2_6,2023,BNZ,2,6,0.0,57,2,85,45,10,8,0,0,4,0,2023-07-03
leaf_2023_BNZ_2_7,2023,BNZ,2,7,0.0,49,2,40,5,4,4,10,0,0,0,2023-07-03
leaf_2023_BNZ_2_8,2023,BNZ,2,8,0.0,49,2,0,0,0,0,3,0,0,0,2023-07-03
leaf_2023_BNZ_2_9,2023,BNZ,2,9,0.0,48,2,0,2,0,1,0,0,0,0,2023-07-03
leaf_2023_BNZ_2_10,2023,BNZ,2,10,0.0,49,2,0,0,0,0,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_1,2023,BNZ,3,1,1.0,,,,,,,100,,,,2023-07-03
leaf_2023_BNZ_3_2,2023,BNZ,3,2,0.0,44,2,100,50,4,1,2,0,0,0,2023-07-03
leaf_2023_BNZ_3_3,2023,BNZ,3,3,0.0,47,2,100,60,7,4,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_4,2023,BNZ,3,4,0.0,38,2,85,55,6,3,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_5,2023,BNZ,3,5,0.0,54,0,95,85,8,4,5,0,0,0,2023-07-03
leaf_2023_BNZ_3_6,2023,BNZ,3,6,0.0,36,0,95,95,6,4,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_7,2023,BNZ,3,7,0.0,20,2,100,0,2,0,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_8,2023,BNZ,3,8,0.0,33,2,20,0,1,0,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_9,2023,BNZ,3,9,0.0,43,1,35,40,2,0,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_10,2023,BNZ,3,10,0.0,41,1,0,25,0,1,15,0,0,0,2023-07-03
leaf_2023_BNZ_3_11,2023,BNZ,3,11,0.0,30,1,0,15,0,1,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_12,2023,BNZ,3,12,0.0,34,1,0,0,0,0,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_13,2023,BNZ,3,13,0.0,26,2,0,0,0,0,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_14,2023,BNZ,3,14,0.0,21,1,0,0,0,0,0,0,0,0,2023-07-03
leaf_2023_BNZ_3_15,2023,BNZ,3,15,0.0,12,0,0,0,0,0,0,0,0,0,2023-07-03
leaf_2023_BNZ_4_1,2023,BNZ,4,1,0.0,40,2,0,75,0,1,0,0,0,0,2023-07-03
leaf_2023_BNZ_4_2,2023,BNZ,4,2,0.0,58,2,2,0,1,0,1,0,0,0,2023-07-03
leaf_2023_BNZ_4_3,2023,BNZ,4,3,0.0,45,2,70,70,1,1,20,0,0,0,2023-07-03
leaf_2023_BNZ_4_4,2023,BNZ,4,4,0.0,40,2,10,65,3,1,25,0,0,0,2023-07-03
leaf_2023_BNZ_4_5,2023,BNZ,4,5,0.0,50,1,0,0,0,0,35,0,0,0,2023-07-03
leaf_2023_BNZ_4_6,2023,BNZ,4,6,0.0,60,0,50,45,5,3,5,0,0,0,2023-07-03
leaf_2023_BNZ_4_7,2023,BNZ,4,7,0.0,52,0,50,30,3,1,5,0,0,0,2023-07-03
leaf_2023_BNZ_4_8,2023,BNZ,4,8,0.0,55,0,55,50,6,3,0,0,0,0,2023-07-03
leaf_2023_BNZ_4_9,2023,BNZ,4,9,0.0,48,40,1,2,1,20,1,0,0,0,2023-07-03
leaf_2023_BNZ_4_10,2023,BNZ,4,10,0.0,33,2,5,50,2,3,0,0,0,0,2023-07-03
leaf_2023_BNZ_4_11,2023,BNZ,4,11,0.0,31,2,30,20,2,2,0,0,1,0,2023-07-03
leaf_2023_BNZ_4_12,2023,BNZ,4,12,0.0,41,2,55,2,2,1,0,0,0,0,2023-07-03
