leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2022_BNZ_1_1,2022,BNZ,1,1,0.0,34,2,0,2,0,1,0,0,0,0,2022-06-26
leaf_2022_BNZ_1_2,2022,BNZ,1,2,0.0,12,2,0,0,0,0,0,0,0,0,2022-06-26
leaf_2022_BNZ_1_3,2022,BNZ,1,3,0.0,36,2,0,0,0,0,0,2,1,0,2022-06-26
leaf_2022_BNZ_1_4,2022,BNZ,1,4,0.0,43,0,45,0,1,0,0,0,0,0,2022-06-26
leaf_2022_BNZ_1_5,2022,BNZ,1,5,0.0,40,0,45,62,1,0,0,0,0,0,2022-06-26
leaf_2022_BNZ_1_6,2022,BNZ,1,6,0.0,34,0,12,65,1,1,0,0,0,0,2022-06-26
leaf_2022_BNZ_1_7,2022,BNZ,1,7,0.0,26,2,5,0,1,0,0,0,0,0,2022-06-26
leaf_2022_BNZ_2_1,2022,BNZ,2,1,0.0,20,2,75,100,2,1,25,0,0,0,2022-06-26
leaf_2022_BNZ_2_2,2022,BNZ,2,2,0.0,52,2,35,20,3,2,8,0,0,0,2022-06-26
leaf_2022_BNZ_2_3,2022,BNZ,2,3,0.0,55,2,75,22,3,4,10,0,0,0,2022-06-26
leaf_2022_BNZ_2_4,2022,BNZ,2,4,0.0,53,2,75,30,4,2,2,0,0,0,2022-06-26
leaf_2022_BNZ_2_5,2022,BNZ,2,5,0.0,65,0,65,3,5,1,0,0,0,0,2022-06-26
leaf_2022_BNZ_2_6,2022,BNZ,2,6,0.0,56,0,55,25,6,3,0,0,0,0,2022-06-26
leaf_2022_BNZ_2_7,2022,BNZ,2,7,0.0,29,2,35,35,3,3,0,0,0,0,2022-06-26
leaf_2022_BNZ_2_8,2022,BNZ,2,8,0.0,32,1,0,15,0,1,15,1,0,0,2022-06-26
leaf_2022_BNZ_2_9,2022,BNZ,2,9,0.0,49,0,0,0,0,0,2,0,0,0,2022-06-26
leaf_2022_BNZ_2_10,2022,BNZ,2,10,0.0,50,0,0,0,0,0,0,0,0,0,2022-06-26
leaf_2022_BNZ_2_11,2022,BNZ,2,11,0.0,36,0,0,0,0,0,2,0,0,0,2022-06-26
leaf_2022_BNZ_2_12,2022,BNZ,2,12,0.0,30,0,0,0,0,0,2,0,0,0,2022-06-26
leaf_2022_BNZ_2_13,2022,BNZ,2,13,0.0,20,0,0,0,0,0,0,0,0,0,2022-06-26
leaf_2022_BNZ_2_14,2022,BNZ,2,14,0.0,11,0,0,0,0,0,0,0,0,0,2022-06-26
leaf_2022_BNZ_3_1,2022,BNZ,3,1,0.0,40,2,95,30,3,1,0,0,0,0,2022-06-26
leaf_2022_BNZ_3_2,2022,BNZ,3,2,0.0,42,2,80,15,2,2,0,1,0,0,2022-06-26
leaf_2022_BNZ_3_3,2022,BNZ,3,3,0.0,30,2,100,65,3,1,0,0,0,0,2022-06-26
leaf_2022_BNZ_3_4,2022,BNZ,3,4,0.0,46,0,80,0,5,1,0,0,0,0,2022-06-26
leaf_2022_BNZ_3_5,2022,BNZ,3,5,0.0,32,0,100,80,4,2,0,0,0,0,2022-06-26
leaf_2022_BNZ_3_6,2022,BNZ,3,6,0.0,30,0,0,20,0,1,25,0,0,0,2022-06-26
leaf_2022_BNZ_3_7,2022,BNZ,3,7,0.0,44,2,0,30,0,2,10,0,0,0,2022-06-26
leaf_2022_BNZ_4_1,2022,BNZ,4,1,0.0,49,2,45,0,1,0,2,0,0,0,2022-06-26
leaf_2022_BNZ_4_2,2022,BNZ,4,2,0.0,58,2,3,25,1,1,0,0,0,0,2022-06-26
leaf_2022_BNZ_4_3,2022,BNZ,4,3,0.0,47,2,95,0,5,0,5,0,0,0,2022-06-26
leaf_2022_BNZ_4_4,2022,BNZ,4,4,0.0,58,1,70,70,4,4,0,0,0,0,2022-06-26
leaf_2022_BNZ_4_5,2022,BNZ,4,5,0.0,58,0,65,65,8,5,0,0,0,0,2022-06-26
leaf_2022_BNZ_4_6,2022,BNZ,4,6,0.0,52,0,70,55,9,4,0,0,0,0,2022-06-26
leaf_2022_BNZ_4_7,2022,BNZ,4,7,0.0,49,0,95,90,7,6,0,0,0,0,2022-06-26
leaf_2022_BNZ_4_8,2022,BNZ,4,8,0.0,41,0,100,85,8,6,10,0,0,0,2022-06-26
leaf_2022_BNZ_4_9,2022,BNZ,4,9,0.0,26,2,100,90,3,3,15,0,0,0,2022-06-26
leaf_2022_BNZ_5_1,2022,BNZ,5,1,0.0,20,2,98,100,1,2,0,0,0,0,2022-06-26
leaf_2022_BNZ_5_2,2022,BNZ,5,2,0.0,30,2,80,100,1,2,10,0,0,0,2022-06-26
leaf_2022_BNZ_5_3,2022,BNZ,5,3,0.0,47,2,70,40,3,1,10,0,0,0,2022-06-26
leaf_2022_BNZ_5_4,2022,BNZ,5,4,0.0,42,2,75,0,3,0,15,0,0,0,2022-06-26
leaf_2022_BNZ_5_5,2022,BNZ,5,5,0.0,57,2,70,80,2,3,25,0,0,0,2022-06-26
leaf_2022_BNZ_5_6,2022,BNZ,5,6,0.0,24,1,0,0,0,0,50,0,0,0,2022-06-26
leaf_2022_BNZ_5_7,2022,BNZ,5,7,0.0,32,0,0,20,0,1,15,0,0,0,2022-06-26
leaf_2022_BNZ_5_8,2022,BNZ,5,8,0.0,32,0,0,0,0,0,25,0,0,0,2022-06-26
