leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2021_BNZ_1_1,2021,BNZ,1,1,0.0,,2,20,90,2,3,10,0,0,0,2021-06-25
leaf_2021_BNZ_1_2,2021,BNZ,1,2,0.0,41,2,20,90,2,4,0,0,0,0,2021-06-25
leaf_2021_BNZ_1_3,2021,BNZ,1,3,0.0,47,2,30,85,3,4,0,0,0,0,2021-06-25
leaf_2021_BNZ_1_4,2021,BNZ,1,4,0.0,40.5,2,60,60,3,2,0,0,0,0,2021-06-25
leaf_2021_BNZ_1_5,2021,BNZ,1,5,0.0,44,2,15,35,2,3,0,0,0,0,2021-06-25
leaf_2021_BNZ_1_6,2021,BNZ,1,6,0.0,16.5,2,65,75,2,2,0,0,0,0,2021-06-25
leaf_2021_BNZ_1_7,2021,BNZ,1,7,0.0,20,2,10,0,1,0,0,1,0,0,2021-06-25
leaf_2021_BNZ_1_8,2021,BNZ,1,8,0.0,15,2,0,0,0,0,20,0,0,0,2021-06-25
leaf_2021_BNZ_2_1,2021,BNZ,2,1,0.0,56,2,40,0,1,0,0,0,1,0,2021-06-25
leaf_2021_BNZ_2_2,2021,BNZ,2,2,1.0,,,,,,,100,,,,2021-06-25
leaf_2021_BNZ_2_3,2021,BNZ,2,3,0.0,55,0,25,5,1,1,0,1,0,0,2021-06-25
leaf_2021_BNZ_2_4,2021,BNZ,2,4,0.0,60.5,0,1,10,1,1,0,0,1,0,2021-06-25
leaf_2021_BNZ_2_5,2021,BNZ,2,5,0.0,44.5,0,0,0,0,0,0,1,0,0,2021-06-25
leaf_2021_BNZ_2_6,2021,BNZ,2,6,0.0,13,0,0,0,0,0,0,0,0,0,2021-06-25
leaf_2021_BNZ_2_7,2021,BNZ,2,7,0.0,21,0,0,0,0,0,0,1,0,0,2021-06-25
leaf_2021_BNZ_2_8,2021,BNZ,2,8,0.0,20,0,0,5,0,1,0,1,0,0,2021-06-25
leaf_2021_BNZ_2_9,2021,BNZ,2,9,0.0,21,2,0,5,0,0,0,0,0,0,2021-06-25
leaf_2021_BNZ_2_10,2021,BNZ,2,10,0.0,11.5,2,0,5,0,1,0,0,0,0,2021-06-25
leaf_2021_BNZ_2_11,2021,BNZ,2,11,0.0,3,0,0,0,0,0,0,0,0,0,2021-06-25
leaf_2021_BNZ_2_12,2021,BNZ,2,12,0.0,5,2,0,0,0,0,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_1,2021,BNZ,3,1,0.0,10,0,0,0,0,0,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_2,2021,BNZ,3,2,0.0,18,2,0,0,0,0,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_3,2021,BNZ,3,3,0.0,33.39,0,0,0,0,0,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_4,2021,BNZ,3,4,0.0,33,2,0,0,0,0,20,0,0,0,2021-06-25
leaf_2021_BNZ_3_5,2021,BNZ,3,5,0.0,39,2,0,10,0,1,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_6,2021,BNZ,3,6,0.0,77,2,5,10,1,1,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_7,2021,BNZ,3,7,0.0,46.5,2,5,1,1,1,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_8,2021,BNZ,3,8,0.0,63,2,10,0,2,0,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_9,2021,BNZ,3,9,0.0,62,0,5,5,3,1,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_10,2021,BNZ,3,10,0.0,57,1,1,1,1,2,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_11,2021,BNZ,3,11,0.0,50.1,1,1,1,1,1,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_12,2021,BNZ,3,12,0.0,44.9,1,0,1,0,1,0,0,0,0,2021-06-25
leaf_2021_BNZ_3_13,2021,BNZ,3,13,0.0,25,1,1,0,1,0,0,1,0,0,2021-06-25
leaf_2021_BNZ_3_14,2021,BNZ,3,14,0.0,17,1,1,1,1,1,0,1,0,0,2021-06-25
leaf_2021_BNZ_3_15,2021,BNZ,3,15,0.0,12,2,1,0,1,0,0,0,0,0,2021-06-25
leaf_2021_BNZ_4_1,2021,BNZ,4,1,0.0,31.5,2,80,75,2,1,0,0,0,0,2021-06-25
leaf_2021_BNZ_4_2,2021,BNZ,4,2,0.0,37,2,98,95,1,1,0,0,0,0,2021-06-25
