leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2008_BNZ_1_1,2008,BNZ,1,1,,,,,,,,100,,,,2008-06-23
leaf_2008_BNZ_1_2,2008,BNZ,1,2,,19,2,95,100,,,0,0,0,,2008-06-23
leaf_2008_BNZ_1_3,2008,BNZ,1,3,,36,2,100,60,,,0,0,0,,2008-06-23
leaf_2008_BNZ_1_4,2008,BNZ,1,4,,35,2,90,70,,,0,0,0,,2008-06-23
leaf_2008_BNZ_1_5,2008,BNZ,1,5,,31,2,95,65,,,0,0,0,,2008-06-23
leaf_2008_BNZ_1_6,2008,BNZ,1,6,,37,0,100,60,,,0,0,0,,2008-06-23
leaf_2008_BNZ_1_8,2008,BNZ,1,8,,35,0,95,60,,,0,0,0,,2008-06-23
leaf_2008_BNZ_1_9,2008,BNZ,1,9,,31,0,75,45,,,0,0,0,,2008-06-23
leaf_2008_BNZ_2_1,2008,BNZ,2,1,,33,2,95,65,,,0,0,0,,2008-06-23
leaf_2008_BNZ_2_2,2008,BNZ,2,2,,36,4,90,55,,,0,0,0,,2008-06-23
leaf_2008_BNZ_2_3,2008,BNZ,2,3,,40,0,70,20,,,0,0,0,,2008-06-23
leaf_2008_BNZ_2_4,2008,BNZ,2,4,,320,1,95,65,,,0,0,0,,2008-06-23
leaf_2008_BNZ_2_5,2008,BNZ,2,5,,40,0,100,0,,,0,0,0,,2008-06-23
leaf_2008_BNZ_2_6,2008,BNZ,2,6,,34,0,100,0,,,0,0,0,,2008-06-23
leaf_2008_BNZ_3_1,2008,BNZ,3,1,,30,3,100,90,,,0,0,0,,2008-06-23
leaf_2008_BNZ_3_2,2008,BNZ,3,2,,43,4,100,55,,,0,0,0,,2008-06-23
leaf_2008_BNZ_3_3,2008,BNZ,3,3,,45,4,55,50,,,0,0,0,,2008-06-23
leaf_2008_BNZ_3_4,2008,BNZ,3,4,,32,2,95,90,,,0,0,0,,2008-06-23
leaf_2008_BNZ_3_5,2008,BNZ,3,5,,52,0,70,5,,,0,0,0,,2008-06-23
leaf_2008_BNZ_3_6,2008,BNZ,3,6,,47,0,60,40,,,0,0,0,,2008-06-23
leaf_2008_BNZ_3_7,2008,BNZ,3,7,,40,0,65,4,,,0,0,0,,2008-06-23
leaf_2008_BNZ_3_8,2008,BNZ,3,8,,47,0,60,40,,,0,0,0,,2008-06-23
leaf_2008_BNZ_4_1,2008,BNZ,4,1,,30,2,95,5,,,0,0,0,,2008-06-23
leaf_2008_BNZ_4_2,2008,BNZ,4,2,,40,2,95,100,,,0,0,0,,2008-06-23
leaf_2008_BNZ_4_3,2008,BNZ,4,3,,44,0,55,25,,,0,0,0,,2008-06-23
leaf_2008_BNZ_4_4,2008,BNZ,4,4,,35,0,100,2,,,0,0,0,,2008-06-23
leaf_2008_BNZ_4_6,2008,BNZ,4,6,,41,0,65,45,,,0,0,0,,2008-06-23
leaf_2008_BNZ_4_7,2008,BNZ,4,7,,29,0,95,80,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_1,2008,BNZ,5,1,,,,,,,,100,,,,2008-06-23
leaf_2008_BNZ_5_2,2008,BNZ,5,2,,36,2,55,0,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_3,2008,BNZ,5,3,,38,2,0,40,,,45,0,1,,2008-06-23
leaf_2008_BNZ_5_4,2008,BNZ,5,4,,42,2,40,75,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_5,2008,BNZ,5,5,,30,2,95,2,,,30,0,0,,2008-06-23
leaf_2008_BNZ_5_6,2008,BNZ,5,6,,30,0,80,0,,,20,0,0,,2008-06-23
leaf_2008_BNZ_5_7,2008,BNZ,5,7,,36,0,95,90,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_8,2008,BNZ,5,8,,34,2,95,95,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_10,2008,BNZ,5,10,,31,0,95,95,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_11,2008,BNZ,5,11,,44,2,40,3,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_12,2008,BNZ,5,12,,31,4,50,35,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_13,2008,BNZ,5,13,,33,2,2,20,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_14,2008,BNZ,5,14,,22,2,5,90,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_15,2008,BNZ,5,15,,20,2,0,5,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_16,2008,BNZ,5,16,,15,2,0,0,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_17,2008,BNZ,5,17,,8,2,0,0,,,0,0,0,,2008-06-23
leaf_2008_BNZ_5_18,2008,BNZ,5,18,,3,2,0,0,,,0,0,0,,2008-06-23
leaf_2008_BNZ_6_1,2008,BNZ,6,1,,,,,,,,100,,,,2008-06-23
leaf_2008_BNZ_6_2,2008,BNZ,6,2,,50,2,95,15,,,0,0,0,,2008-06-23
leaf_2008_BNZ_6_3,2008,BNZ,6,3,,50,2,80,40,,,0,0,0,,2008-06-23
leaf_2008_BNZ_6_4,2008,BNZ,6,4,,41,2,65,25,,,3,0,0,,2008-06-23
