leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2017_BNZ_1_1,2017,BNZ,1,1,N,32,2,0,0,0,0,0,0,0,,2017-06-25
leaf_2017_BNZ_1_2,2017,BNZ,1,2,N,46,2,0,15,0,1,2,0,0,,2017-06-25
leaf_2017_BNZ_1_3,2017,BNZ,1,3,N,45,0,55,0,1,0,0,0,0,,2017-06-25
leaf_2017_BNZ_1_4,2017,BNZ,1,4,N,49,0,45,30,1,1,2,0,0,,2017-06-25
leaf_2017_BNZ_1_5,2017,BNZ,1,5,N,39,0,28,15,2,1,0,1,0,,2017-06-25
leaf_2017_BNZ_2_1,2017,BNZ,2,1,N,45,2,55,0,1,0,0,0,0,,2017-06-25
leaf_2017_BNZ_2_2,2017,BNZ,2,2,N,42,2,0,0,0,0,0,1,0,,2017-06-25
leaf_2017_BNZ_2_3,2017,BNZ,2,3,N,49,2,0,0,0,0,0,0,0,,2017-06-25
leaf_2017_BNZ_2_4,2017,BNZ,2,4,N,48,1,20,15,1,1,0,1,0,,2017-06-25
leaf_2017_BNZ_2_5,2017,BNZ,2,5,N,49,0,0,17,0,1,0,0,0,,2017-06-25
leaf_2017_BNZ_2_6,2017,BNZ,2,6,N,46,0,35,0,1,0,0,1,0,,2017-06-25
leaf_2017_BNZ_3_1,2017,BNZ,3,1,N,54,3,0,40,0,1,0,1,0,,2017-06-25
leaf_2017_BNZ_3_2,2017,BNZ,3,2,N,63,2,75,0,3,0,0,1,0,,2017-06-25
leaf_2017_BNZ_3_3,2017,BNZ,3,3,N,59,2,20,35,1,2,0,0,0,,2017-06-25
leaf_2017_BNZ_3_4,2017,BNZ,3,4,N,68,0,25,20,2,1,0,0,0,,2017-06-25
leaf_2017_BNZ_3_5,2017,BNZ,3,5,N,47,0,70,30,2,1,20,1,0,,2017-06-25
leaf_2017_BNZ_4_1,2017,BNZ,4,1,Y,,,,,,,,,,,2017-06-25
leaf_2017_BNZ_4_2,2017,BNZ,4,2,N,42,2,4,12,1,3,0,1,0,,2017-06-25
leaf_2017_BNZ_4_3,2017,BNZ,4,3,N,37,2,30,60,1,2,0,0,0,,2017-06-25
leaf_2017_BNZ_4_4,2017,BNZ,4,4,N,55,1,15,10,1,1,0,0,0,,2017-06-25
leaf_2017_BNZ_4_5,2017,BNZ,4,5,N,32,2,75,85,2,4,0,0,0,,2017-06-25
leaf_2017_BNZ_4_6,2017,BNZ,4,6,N,43,2,50,65,1,3,0,0,0,,2017-06-25
leaf_2017_BNZ_4_7,2017,BNZ,4,7,N,43,1,55,65,2,2,0,0,0,,2017-06-25
leaf_2017_BNZ_4_8,2017,BNZ,4,8,N,44,2,35,35,1,1,0,0,0,,2017-06-25
leaf_2017_BNZ_4_9,2017,BNZ,4,9,N,38,2,17,70,1,2,0,0,0,,2017-06-25
leaf_2017_BNZ_4_10,2017,BNZ,4,10,N,32,2,0,35,0,1,0,0,0,,2017-06-25
leaf_2017_BNZ_4_11,2017,BNZ,4,11,N,42,2,0,0,0,0,0,0,0,,2017-06-25
leaf_2017_BNZ_4_12,2017,BNZ,4,12,N,36,2,0,35,0,1,4,0,0,,2017-06-25
leaf_2017_BNZ_4_13,2017,BNZ,4,13,N,29,4,0,0,0,0,0,0,0,,2017-06-25
leaf_2017_BNZ_4_14,2017,BNZ,4,14,N,27,3,0,0,0,0,0,0,0,,2017-06-25
leaf_2017_BNZ_4_15,2017,BNZ,4,15,N,18,2,0,0,0,0,0,0,0,,2017-06-25
leaf_2017_BNZ_4_16,2017,BNZ,4,16,N,5,2,0,0,0,0,0,0,0,,2017-06-25
leaf_2017_BNZ_5_1,2017,BNZ,5,1,Y,,,,,,,,,,,2017-06-25
leaf_2017_BNZ_5_2,2017,BNZ,5,2,N,47,2,70,0,2,0,0,0,1,,2017-06-25
leaf_2017_BNZ_5_3,2017,BNZ,5,3,N,46,2,60,45,2,2,0,0,1,,2017-06-25
leaf_2017_BNZ_5_4,2017,BNZ,5,4,N,45,2,85,37,6,1,0,0,1,,2017-06-25
leaf_2017_BNZ_5_5,2017,BNZ,5,5,N,53,2,70,30,2,1,0,0,4,,2017-06-25
leaf_2017_BNZ_5_6,2017,BNZ,5,6,N,43,2,90,40,3,2,0,0,0,,2017-06-25
leaf_2017_BNZ_5_7,2017,BNZ,5,7,N,23,2,90,90,3,3,0,0,0,,2017-06-25
leaf_2017_BNZ_5_8,2017,BNZ,5,8,N,9,4,0,95,0,1,0,0,0,,2017-06-25
leaf_2017_BNZ_5_9,2017,BNZ,5,9,N,17,2,50,60,1,1,0,0,0,,2017-06-25
