leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2006_BNZ_1_1,2006,BNZ,1,1,,52,2,95,40,,,3,0,1,,2006-06-25
leaf_2006_BNZ_1_2,2006,BNZ,1,2,,84,4,85,10,,,5,0,0,,2006-06-25
leaf_2006_BNZ_1_3,2006,BNZ,1,3,,82,1,60,15,,,2,0,0,,2006-06-25
leaf_2006_BNZ_1_4,2006,BNZ,1,4,,82,0,75,40,,,2,0,0,,2006-06-25
leaf_2006_BNZ_1_5,2006,BNZ,1,5,,83,0,40,50,,,0,0,0,,2006-06-25
leaf_2006_BNZ_1_6,2006,BNZ,1,6,,86,0,60,40,,,10,0,0,,2006-06-25
leaf_2006_BNZ_1_7,2006,BNZ,1,7,,70,0,75,25,,,20,0,0,,2006-06-25
leaf_2006_BNZ_1_8,2006,BNZ,1,8,,24,1,90,100,,,0,1,0,,2006-06-25
leaf_2006_BNZ_1_9,2006,BNZ,1,9,,14,2,85,100,,,5,0,0,,2006-06-25
leaf_2006_BNZ_1_10,2006,BNZ,1,10,,19,2,0,100,,,10,0,0,,2006-06-25
leaf_2006_BNZ_1_11,2006,BNZ,1,11,,29,2,3,0,,,0,0,0,,2006-06-25
leaf_2006_BNZ_1_12,2006,BNZ,1,12,,20,1,2,0,,,0,0,0,,2006-06-25
leaf_2006_BNZ_1_13,2006,BNZ,1,13,,10,0,0,0,,,0,0,0,,2006-06-25
leaf_2006_BNZ_1_14,2006,BNZ,1,14,,42,2,0,2,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_1,2006,BNZ,2,1,,50,3,95,60,,,2,0,0,,2006-06-25
leaf_2006_BNZ_2_2,2006,BNZ,2,2,,43,2,100,20,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_3,2006,BNZ,2,3,,52,2,2,20,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_4,2006,BNZ,2,4,,63,1,80,20,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_5,2006,BNZ,2,5,,49,0,50,20,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_6,2006,BNZ,2,6,,60,0,45,30,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_7,2006,BNZ,2,7,,66,0,20,15,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_8,2006,BNZ,2,8,,38,2,100,0,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_9,2006,BNZ,2,9,,37,0,0,0,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_10,2006,BNZ,2,10,,35,2,5,5,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_11,2006,BNZ,2,11,,24,2,0,10,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_12,2006,BNZ,2,12,,15,2,0,0,,,0,0,0,,2006-06-25
leaf_2006_BNZ_2_13,2006,BNZ,2,13,,8,2,0,0,,,0,0,0,,2006-06-25
leaf_2006_BNZ_3_2,2006,BNZ,3,2,,73,2,65,40,,,0,0,0,,2006-06-25
leaf_2006_BNZ_3_3,2006,BNZ,3,3,,83,2,50,65,,,0,0,0,,2006-06-25
leaf_2006_BNZ_3_4,2006,BNZ,3,4,,60,2,95,75,,,0,0,0,,2006-06-25
leaf_2006_BNZ_3_5,2006,BNZ,3,5,,86,2,95,75,,,40,0,0,,2006-06-25
leaf_2006_BNZ_3_6,2006,BNZ,3,6,,78,2,80,55,,,40,0,0,,2006-06-25
leaf_2006_BNZ_3_7,2006,BNZ,3,7,,75,1,95,40,,,35,0,0,,2006-06-25
leaf_2006_BNZ_3_8,2006,BNZ,3,8,,81,0,95,50,,,20,0,0,,2006-06-25
leaf_2006_BNZ_3_9,2006,BNZ,3,9,,88,2,2,2,,,0,0,0,,2006-06-25
leaf_2006_BNZ_3_10,2006,BNZ,3,10,,82,1,5,0,,,0,0,0,,2006-06-25
leaf_2006_BNZ_3_11,2006,BNZ,3,11,,65,1,3,3,,,0,0,0,,2006-06-25
