leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2011_BNZ_1_1,2011,BNZ,1,1,,28.5,2,0,0,,,0,0,0,,2011-06-17
leaf_2011_BNZ_1_2,2011,BNZ,1,2,,25.4,2,0,0,,,0,0,0,,2011-06-17
leaf_2011_BNZ_1_3,2011,BNZ,1,3,,45.199999999999996,2,5,2,,,1,0,0,,2011-06-17
leaf_2011_BNZ_1_4,2011,BNZ,1,4,,37.3,2,0,0,,,0,0,0,,2011-06-17
leaf_2011_BNZ_1_5,2011,BNZ,1,5,,51.2,1,3,3,,,0,0,0,,2011-06-17
leaf_2011_BNZ_1_6,2011,BNZ,1,6,,50,0,5,0,,,5,0,0,,2011-06-17
leaf_2011_BNZ_1_7,2011,BNZ,1,7,,50.4,1,50,0,,,0,1,0,,2011-06-17
leaf_2011_BNZ_1_8,2011,BNZ,1,8,,63.9,2,10,5,,,1,0,0,,2011-06-17
leaf_2011_BNZ_1_9,2011,BNZ,1,9,,46.2,1,3,0,,,0,0,0,,2011-06-17
leaf_2011_BNZ_1_10,2011,BNZ,1,10,,47.300000000000004,2,10,0,,,0,0,0,,2011-06-17
leaf_2011_BNZ_1_11,2011,BNZ,1,11,,39,2,5,0,,,0,0,0,,2011-06-17
leaf_2011_BNZ_1_12,2011,BNZ,1,12,,25.6,1,5,3,,,0,0,0,,2011-06-17
leaf_2011_BNZ_1_13,2011,BNZ,1,13,,16.4,1,2,1,,,0,0,0,,2011-06-17
leaf_2011_BNZ_2_1,2011,BNZ,2,1,,44.1,2,30,20,,,0,0,0,,2011-06-17
leaf_2011_BNZ_2_2,2011,BNZ,2,2,,49,2,3,0,,,0,0,0,,2011-06-17
leaf_2011_BNZ_2_3,2011,BNZ,2,3,,44.800000000000004,3,40,10,,,1,0,0,,2011-06-17
leaf_2011_BNZ_2_4,2011,BNZ,2,4,,30.099999999999998,2,95,65,,,0,1,0,,2011-06-17
leaf_2011_BNZ_2_5,2011,BNZ,2,5,,58.2,2,50,10,,,0,0,0,,2011-06-17
leaf_2011_BNZ_2_6,2011,BNZ,2,6,,48.2,1,45,30,,,0,0,0,,2011-06-17
leaf_2011_BNZ_2_7,2011,BNZ,2,7,,36.7,0,75,45,,,5,0,0,,2011-06-17
leaf_2011_BNZ_2_8,2011,BNZ,2,8,,49.5,0,60,60,,,1,0,0,,2011-06-17
leaf_2011_BNZ_2_9,2011,BNZ,2,9,,30.4,2,1,2,,,0,0,0,,2011-06-17
