leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2007_BNZ_1_2,2007,BNZ,1,2,,54,4,88,27,,,0,0,0,,2007-06-11
leaf_2007_BNZ_1_3,2007,BNZ,1,3,,32,2,100,100,,,45,0,0,,2007-06-11
leaf_2007_BNZ_1_4,2007,BNZ,1,4,,54,2,85,20,,,2,2,0,,2007-06-11
leaf_2007_BNZ_1_5,2007,BNZ,1,5,,44,2,100,100,,,20,0,0,,2007-06-11
leaf_2007_BNZ_1_6,2007,BNZ,1,6,,45,2,96,90,,,0,0,0,,2007-06-11
leaf_2007_BNZ_1_7,2007,BNZ,1,7,,52,1,100,50,,,0,0,0,,2007-06-11
leaf_2007_BNZ_1_8,2007,BNZ,1,8,,26,2,98,60,,,0,0,0,,2007-06-11
leaf_2007_BNZ_1_9,2007,BNZ,1,9,,34,2,65,0,,,70,0,0,,2007-06-11
leaf_2007_BNZ_1_10,2007,BNZ,1,10,,11,2,0,0,,,80,0,0,,2007-06-11
leaf_2007_BNZ_2_2,2007,BNZ,2,2,,47,2,80,20,,,0,0,0,,2007-06-11
leaf_2007_BNZ_2_3,2007,BNZ,2,3,,48,2,100,0,,,10,0,0,,2007-06-11
leaf_2007_BNZ_2_4,2007,BNZ,2,4,,49,2,90,3,,,10,0,0,,2007-06-11
leaf_2007_BNZ_2_5,2007,BNZ,2,5,,50,1,65,5,,,0,0,0,,2007-06-11
leaf_2007_BNZ_2_6,2007,BNZ,2,6,,52,1,40,40,,,0,0,0,,2007-06-11
leaf_2007_BNZ_2_7,2007,BNZ,2,7,,45,1,78,1,,,0,0,0,,2007-06-11
leaf_2007_BNZ_2_8,2007,BNZ,2,8,,25,2,0,0,,,0,0,0,,2007-06-11
leaf_2007_BNZ_3_1,2007,BNZ,3,1,,22,2,100,80,,,2,0,0,,2007-06-11
leaf_2007_BNZ_3_2,2007,BNZ,3,2,,36,2,100,100,,,45,0,0,,2007-06-11
leaf_2007_BNZ_3_3,2007,BNZ,3,3,,44,2,100,92,,,0,0,0,,2007-06-11
leaf_2007_BNZ_3_4,2007,BNZ,3,4,,39,2,78,87,,,5,0,0,,2007-06-11
leaf_2007_BNZ_3_6,2007,BNZ,3,6,,43,1,98,35,,,0,0,0,,2007-06-11
leaf_2007_BNZ_3_8,2007,BNZ,3,8,,,0,100,100,,,75,0,0,,2007-06-11
leaf_2007_BNZ_3_9,2007,BNZ,3,9,,31,0,100,80,,,30,0,0,,2007-06-11
leaf_2007_BNZ_3_10,2007,BNZ,3,10,,,1,5,100,,,75,0,0,,2007-06-11
leaf_2007_BNZ_3_11,2007,BNZ,3,11,,30,0,97,20,,,30,0,0,,2007-06-11
leaf_2007_BNZ_3_12,2007,BNZ,3,12,,14,2,0,5,,,,,,,2007-06-11
leaf_2007_BNZ_4_2,2007,BNZ,4,2,,43,2,80,70,,,0,0,0,,2007-06-11
leaf_2007_BNZ_4_3,2007,BNZ,4,3,,36,2,100,,,,0,0,0,,2007-06-11
leaf_2007_BNZ_4_4,2007,BNZ,4,4,,35,2,100,20,,,5,0,0,,2007-06-11
leaf_2007_BNZ_4_5,2007,BNZ,4,5,,16,2,100,100,,,0,0,0,,2007-06-11
leaf_2007_BNZ_4_6,2007,BNZ,4,6,,41,2,97,28,,,0,0,0,,2007-06-11
leaf_2007_BNZ_4_7,2007,BNZ,4,7,,33,2,70,90,,,0,0,2,,2007-06-11
leaf_2007_BNZ_5_2,2007,BNZ,5,2,,37,2,70,45,,,5,0,0,,2007-06-11
leaf_2007_BNZ_5_3,2007,BNZ,5,3,,62,2,60,27,,,2,0,0,,2007-06-11
leaf_2007_BNZ_5_4,2007,BNZ,5,4,,39,2,95,50,,,2,0,0,,2007-06-11
leaf_2007_BNZ_5_5,2007,BNZ,5,5,,55,2,0,0,,,0,0,0,,2007-06-11
leaf_2007_BNZ_5_6,2007,BNZ,5,6,,52,0,65,70,,,45,0,0,,2007-06-11
leaf_2007_BNZ_5_7,2007,BNZ,5,7,,29,1,5,5,,,10,0,0,,2007-06-11
leaf_2007_BNZ_5_8,2007,BNZ,5,8,,21,1,0,0,,,10,0,0,,2007-06-11
leaf_2007_BNZ_6_1,2007,BNZ,6,1,,47,2,60,45,,,0,0,0,,2007-06-11
leaf_2007_BNZ_6_2,2007,BNZ,6,2,,47,1,60,20,,,2,0,0,,2007-06-11
leaf_2007_BNZ_6_3,2007,BNZ,6,3,,37,0,90,100,,,0,0,0,,2007-06-11
leaf_2007_BNZ_6_4,2007,BNZ,6,4,,28,0,98,98,,,0,0,0,,2007-06-11
leaf_2007_BNZ_7_1,2007,BNZ,7,1,,42,2,63,90,,,0,0,0,,2007-06-11
leaf_2007_BNZ_7_2,2007,BNZ,7,2,,51,2,25,80,,,0,0,0,,2007-06-11
leaf_2007_BNZ_7_3,2007,BNZ,7,3,,53,2,96,30,,,0,0,0,,2007-06-11
leaf_2007_BNZ_7_4,2007,BNZ,7,4,,57,2,30,40,,,0,0,0,,2007-06-11
leaf_2007_BNZ_7_5,2007,BNZ,7,5,,54,0,98,78,,,0,0,0,,2007-06-11
leaf_2007_BNZ_7_6,2007,BNZ,7,6,,56,0,80,70,,,0,0,0,,2007-06-11
leaf_NA_NA_7_6,,,7,6,,56,0,80,70,,,0,0,0,,2007-06-11
leaf_2007_BNZ_7_7,2007,BNZ,7,7,,52,0,85,75,,,0,0,0,,2007-06-11
leaf_2007_BNZ_7_8,2007,BNZ,7,8,,14,1,100,100,,,0,0,0,,2007-06-11
leaf_2007_BNZ_7_9,2007,BNZ,7,9,,15,2,0,50,,,0,0,0,,2007-06-11
leaf_2007_BNZ_7_10,2007,BNZ,7,10,,18,2,0,25,,,10,0,0,,2007-06-11
leaf_2007_BNZ_7_11,2007,BNZ,7,11,,9,2,0,0,,,0,0,0,,2007-06-11
leaf_2007_BNZ_8_1,2007,BNZ,8,1,,43,2,80,86,,,2,0,0,,2007-06-11
leaf_2007_BNZ_8_2,2007,BNZ,8,2,,74,2,60,60,,,1,0,0,,2007-06-11
leaf_2007_BNZ_8_3,2007,BNZ,8,3,,76,2,88,60,,,8,0,1,,2007-06-11
leaf_2007_BNZ_8_4,2007,BNZ,8,4,,48,2,100,90,,,0,0,0,,2007-06-11
leaf_2007_BNZ_8_5,2007,BNZ,8,5,,76,0,90,75,,,0,0,0,,2007-06-11
leaf_2007_BNZ_8_6,2007,BNZ,8,6,,71,0,95,80,,,0,0,0,,2007-06-11
leaf_2007_BNZ_8_7,2007,BNZ,8,7,,62,0,92,89,,,0,0,0,,2007-06-11
leaf_2007_BNZ_8_8,2007,BNZ,8,8,,65,0,90,45,,,0,0,0,,2007-06-11
leaf_2007_BNZ_8_9,2007,BNZ,8,9,,22,2,100,80,,,5,0,0,,2007-06-11
leaf_2007_BNZ_8_10,2007,BNZ,8,10,,25,2,25,10,,,0,0,0,,2007-06-11
leaf_2007_BNZ_8_11,2007,BNZ,8,11,,32,2,7,30,,,0,0,0,,2007-06-11
leaf_2007_BNZ_8_12,2007,BNZ,8,12,,25,2,5,2,,,0,0,0,,2007-06-11
leaf_2007_BNZ_8_13,2007,BNZ,8,13,,15,2,3,0,,,0,0,0,,2007-06-11
leaf_2007_BNZ_9_2,2007,BNZ,9,2,,49,2,78,95,,,0,0,0,,2007-06-15
leaf_2007_BNZ_9_3,2007,BNZ,9,3,,59,1,48,22,,,0,0,0,,2007-06-15
leaf_2007_BNZ_9_5,2007,BNZ,9,5,,44,0,100,50,,,0,1,2,,2007-06-15
leaf_2007_BNZ_9_6,2007,BNZ,9,6,,46,0,80,30,,,0,1,0,,2007-06-15
leaf_2007_BNZ_9_7,2007,BNZ,9,7,,30,2,73,50,,,0,1,0,,2007-06-15
leaf_2007_BNZ_9_8,2007,BNZ,9,8,,28,2,0,0,,,0,0,0,,2007-06-15
leaf_2007_BNZ_10_1,2007,BNZ,10,1,,51,2,0,0,,,0,0,0,,2007-06-15
leaf_2007_BNZ_10_2,2007,BNZ,10,2,,28,2,0,0,,,0,0,0,,2007-06-15
leaf_2007_BNZ_10_3,2007,BNZ,10,3,,39,2,97,29,,,0,0,0,,2007-06-15
leaf_2007_BNZ_10_4,2007,BNZ,10,4,,33,2,96,25,,,0,0,0,,2007-06-15
leaf_2007_BNZ_10_5,2007,BNZ,10,5,,33,0,100,100,,,2,0,0,,2007-06-15
