leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2009_BNZ_1_1,2009,BNZ,1,1,,,,,,,,100,,,,2009-06-17
leaf_2009_BNZ_1_2,2009,BNZ,1,2,,29,2,80,98,,,0,1,0,,2009-06-17
leaf_2009_BNZ_1_3,2009,BNZ,1,3,,40,2,27,9,,,1,1,0,,2009-06-17
leaf_2009_BNZ_1_4,2009,BNZ,1,4,,40,2,81,0,,,3,0,0,,2009-06-17
leaf_2009_BNZ_1_5,2009,BNZ,1,5,,51,2,53,1,,,0,0,0,,2009-06-17
leaf_2009_BNZ_1_6,2009,BNZ,1,6,,44,0,91,0,,,2,1,0,,2009-06-17
leaf_2009_BNZ_1_7,2009,BNZ,1,7,,50,1,42,42,,,0,0,0,,2009-06-17
leaf_2009_BNZ_1_8,2009,BNZ,1,8,,49,0,72,8,,,1,0,0,,2009-06-17
leaf_2009_BNZ_1_9,2009,BNZ,1,9,,60,2,1,1,,,1,0,0,,2009-06-17
leaf_2009_BNZ_1_10,2009,BNZ,1,10,,24,0,100,0,,,5,0,0,,2009-06-17
leaf_2009_BNZ_2_1,2009,BNZ,2,1,,26,2,99,0,,,0,0,0,,2009-06-17
leaf_2009_BNZ_2_2,2009,BNZ,2,2,,40,2,58,56,,,1,0,0,,2009-06-17
leaf_2009_BNZ_2_3,2009,BNZ,2,3,,47,0,52,41,,,0,0,0,,2009-06-17
leaf_2009_BNZ_2_4,2009,BNZ,2,4,,38,2,99,49,,,0,0,1,,2009-06-17
leaf_2009_BNZ_2_5,2009,BNZ,2,5,,48,0,89,0,,,0,0,2,,2009-06-17
leaf_2009_BNZ_2_6,2009,BNZ,2,6,,50,0,57,82,,,0,0,2,,2009-06-17
leaf_2009_BNZ_2_7,2009,BNZ,2,7,,40,0,100,63,,,0,0,0,,2009-06-17
leaf_2009_BNZ_2_8,2009,BNZ,2,8,,28,1,90,77,,,0,2,1,,2009-06-17
leaf_2009_BNZ_2_9,2009,BNZ,2,9,,16,2,100,23,,,0,1,0,,2009-06-17
leaf_2009_BNZ_3_1,2009,BNZ,3,1,,23,2,100,0,,,0,0,0,,2009-06-17
leaf_2009_BNZ_3_3,2009,BNZ,3,3,,44,2,98,55,,,1,0,0,,2009-06-17
leaf_2009_BNZ_3_4,2009,BNZ,3,4,,37,0,99,96,,,0,0,0,,2009-06-17
