leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2018_BNZ_1_1,2018,BNZ,1,1,0.0,68,3,0,0,0,0,2,0,0,,2018-06-28
leaf_2018_BNZ_1_2,2018,BNZ,1,2,0.0,58,2,45,0,2,0,0,2,0,,2018-06-28
leaf_2018_BNZ_1_3,2018,BNZ,1,3,0.0,57,2,0,0,0,0,0,4,0,,2018-06-28
leaf_2018_BNZ_1_4,2018,BNZ,1,4,0.0,69,2,2,8,1,1,0,1,0,,2018-06-28
leaf_2018_BNZ_1_5,2018,BNZ,1,5,0.0,58,2,10,10,1,2,0,1,0,,2018-06-28
leaf_2018_BNZ_1_6,2018,BNZ,1,6,0.0,38,2,33,5,1,2,5,0,0,,2018-06-28
leaf_2018_BNZ_1_7,2018,BNZ,1,7,0.0,47,2,32,0,2,0,5,0,0,,2018-06-28
leaf_2018_BNZ_1_9,2018,BNZ,1,9,0.0,31,1,0,2,0,1,0,0,0,,2018-06-28
leaf_2018_BNZ_1_10,2018,BNZ,1,10,0.0,21,1,0,0,0,0,0,0,0,,2018-06-28
leaf_2018_BNZ_1_11,2018,BNZ,1,11,0.0,15,0,0,0,0,0,0,0,0,,2018-06-28
leaf_2018_BNZ_2_1,2018,BNZ,2,1,0.0,32,4,95,0,1,0,0,0,0,,2018-06-28
leaf_2018_BNZ_2_2,2018,BNZ,2,2,0.0,47,2,97,40,2,2,0,0,1,,2018-06-28
leaf_2018_BNZ_2_3,2018,BNZ,2,3,0.0,53,2,35,26,3,1,0,0,0,,2018-06-28
leaf_2018_BNZ_2_4,2018,BNZ,2,4,0.0,43,2,100,78,2,2,0,0,0,,2018-06-28
leaf_2018_BNZ_2_5,2018,BNZ,2,5,0.0,61,0,30,26,2,1,3,0,0,,2018-06-28
leaf_2018_BNZ_2_6,2018,BNZ,2,6,0.0,52,0,80,28,2,2,0,1,0,,2018-06-28
leaf_2018_BNZ_2_7,2018,BNZ,2,7,0.0,47,0,80,28,4,1,0,0,0,,2018-06-28
leaf_2018_BNZ_2_8,2018,BNZ,2,8,0.0,50,0,45,65,3,3,0,0,0,,2018-06-28
leaf_2018_BNZ_3_1,2018,BNZ,3,1,0.0,50,4,50,30,2,1,0,1,0,,2018-06-28
leaf_2018_BNZ_3_2,2018,BNZ,3,2,0.0,54,2,40,30,3,3,0,1,0,,2018-06-28
leaf_2018_BNZ_3_3,2018,BNZ,3,3,0.0,61,0,80,14,3,1,0,1,0,,2018-06-28
leaf_2018_BNZ_3_4,2018,BNZ,3,4,0.0,64,0,72,30,4,2,0,2,0,,2018-06-28
leaf_2018_BNZ_3_5,2018,BNZ,3,5,0.0,65,0,72,8,4,2,0,2,0,,2018-06-28
leaf_2018_BNZ_3_6,2018,BNZ,3,6,0.0,68,0,77,15,4,1,0,8,0,,2018-06-28
leaf_2018_BNZ_3_7,2018,BNZ,3,7,0.0,39,2,78,75,6,2,5,3,0,,2018-06-28
leaf_2018_BNZ_3_8,2018,BNZ,3,8,0.0,22,2,15,5,1,1,0,2,0,,2018-06-28
leaf_2018_BNZ_3_9,2018,BNZ,3,9,0.0,32,1,0,1,0,0,0,0,0,,2018-06-28
leaf_2018_BNZ_3_10,2018,BNZ,3,10,0.0,29,2,0,0,0,0,0,0,0,,2018-06-28
leaf_2018_BNZ_3_11,2018,BNZ,3,11,0.0,15,2,0,0,0,0,0,0,0,,2018-06-28
leaf_2018_BNZ_3_12,2018,BNZ,3,12,0.0,29,2,0,0,0,0,0,0,0,,2018-06-28
leaf_2018_BNZ_4_1,2018,BNZ,4,1,1.0,,,,,,,,,,,2018-06-28
leaf_2018_BNZ_4_2,2018,BNZ,4,2,0.0,68,2,35,20,2,1,20,1,0,,2018-06-28
leaf_2018_BNZ_4_3,2018,BNZ,4,3,0.0,80,4,4,9,1,1,2,0,1,,2018-06-28
leaf_2018_BNZ_4_4,2018,BNZ,4,4,0.0,59,2,0,10,0,2,0,0,2,,2018-06-28
leaf_2018_BNZ_4_5,2018,BNZ,4,5,0.0,84,2,25,15,4,4,0,0,2,,2018-06-28
leaf_2018_BNZ_4_6,2018,BNZ,4,6,0.0,72,2,0,18,0,1,0,0,0,,2018-06-28
leaf_2018_BNZ_4_7,2018,BNZ,4,7,0.0,57,0,3,10,3,2,0,0,0,,2018-06-28
leaf_2018_BNZ_4_8,2018,BNZ,4,8,0.0,50,2,55,6,2,2,0,0,0,,2018-06-28
leaf_2018_BNZ_4_9,2018,BNZ,4,9,0.0,50,0,3,30,2,3,0,0,0,,2018-06-28
leaf_2018_BNZ_4_10,2018,BNZ,4,10,0.0,48,0,13,8,1,1,0,0,0,,2018-06-28
leaf_2018_BNZ_4_11,2018,BNZ,4,11,0.0,51,1,12,2,1,1,0,0,0,,2018-06-28
leaf_2018_BNZ_4_12,2018,BNZ,4,12,0.0,44,0,0,18,0,1,0,0,0,,2018-06-28
leaf_2018_BNZ_4_13,2018,BNZ,4,13,0.0,35,0,0,0,0,0,0,0,0,,2018-06-28
leaf_2018_BNZ_4_14,2018,BNZ,4,14,0.0,35,0,0,0,0,0,0,0,0,,2018-06-28
leaf_2018_BNZ_4_15,2018,BNZ,4,15,0.0,24,0,0,0,0,0,0,1,0,,2018-06-28
leaf_2018_BNZ_5_1,2018,BNZ,5,1,0.0,55,2,35,0,3,0,0,0,0,,2018-06-28
