leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2014_BNZ_1_1,2014,BNZ,1,1,0.0,41,2,55,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_2,2014,BNZ,1,2,0.0,35,2,70,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_3,2014,BNZ,1,3,0.0,52,1,0,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_4,2014,BNZ,1,4,0.0,52,0,0,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_5,2014,BNZ,1,5,0.0,53,0,0,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_6,2014,BNZ,1,6,0.0,54,0,60,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_7,2014,BNZ,1,7,0.0,52,0,70,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_8,2014,BNZ,1,8,0.0,57,0,50,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_9,2014,BNZ,1,9,0.0,48,0,0,7,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_10,2014,BNZ,1,10,0.0,21,0,80,100,,,0,0,3,,2014-06-21
leaf_2014_BNZ_1_11,2014,BNZ,1,11,0.0,27,2,90,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_12,2014,BNZ,1,12,0.0,40,2,40,40,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_13,2014,BNZ,1,13,0.0,30,2,2,50,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_14,2014,BNZ,1,14,0.0,22,2,5,5,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_15,2014,BNZ,1,15,0.0,27,2,2,5,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_16,2014,BNZ,1,16,0.0,23,3,1,1,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_17,2014,BNZ,1,17,0.0,19,1,1,2,,,0,0,0,,2014-06-21
leaf_2014_BNZ_1_18,2014,BNZ,1,18,0.0,,2,0,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_2_1,2014,BNZ,2,1,0.0,3,0,0,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_2_2,2014,BNZ,2,2,0.0,40,0,0,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_2_3,2014,BNZ,2,3,0.0,44,0,55,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_2_4,2014,BNZ,2,4,0.0,42,0,30,40,,,0,0,0,,2014-06-21
leaf_2014_BNZ_2_5,2014,BNZ,2,5,0.0,33,0,0,60,,,0,0,0,,2014-06-21
leaf_2014_BNZ_2_6,2014,BNZ,2,6,0.0,26,0,100,80,,,0,0,0,,2014-06-21
leaf_2014_BNZ_2_7,2014,BNZ,2,7,0.0,10,2,0,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_3_1,2014,BNZ,3,1,0.0,44,0,0,45,,,0,0,4,,2014-06-21
leaf_2014_BNZ_3_2,2014,BNZ,3,2,0.0,43,0,15,55,,,0,0,0,,2014-06-21
leaf_2014_BNZ_3_3,2014,BNZ,3,3,0.0,43,0,60,50,,,0,0,0,,2014-06-21
leaf_2014_BNZ_3_4,2014,BNZ,3,4,0.0,43,0,7,20,,,0,0,1,,2014-06-21
leaf_2014_BNZ_3_5,2014,BNZ,3,5,0.0,46,0,55,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_3_6,2014,BNZ,3,6,0.0,41,0,30,50,,,0,0,0,,2014-06-21
leaf_2014_BNZ_3_7,2014,BNZ,3,7,0.0,34,2,10,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_3_8,2014,BNZ,3,8,0.0,33,2,1,20,,,0,0,0,,2014-06-21
leaf_2014_BNZ_3_9,2014,BNZ,3,9,0.0,25,2,0,1,,,0,0,0,,2014-06-21
leaf_2014_BNZ_4_1,2014,BNZ,4,1,0.0,33,2,98,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_4_2,2014,BNZ,4,2,0.0,50,1,0,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_4_3,2014,BNZ,4,3,0.0,57,0,30,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_4_4,2014,BNZ,4,4,0.0,39,0,20,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_4_5,2014,BNZ,4,5,0.0,41,0,55,2,,,0,0,0,,2014-06-21
leaf_2014_BNZ_5_1,2014,BNZ,5,1,0.0,33,2,75,0,,,0,0,0,,2014-06-21
leaf_2014_BNZ_5_2,2014,BNZ,5,2,0.0,70,2,15,25,,,0,0,0,,2014-06-21
leaf_2014_BNZ_5_3,2014,BNZ,5,3,0.0,86,2,30,25,,,0,0,1,,2014-06-21
leaf_2014_BNZ_5_4,2014,BNZ,5,4,0.0,84,2,15,20,,,0,0,0,,2014-06-21
