surface_id,leaf_id,leaf_side,larva_mine_alive_n,larva_mine_dead_n,larva_mine_paras_n,mine_empty_n,larva_fold_alive_n,larva_fold_dead_n,larva_fold_paras_n,pupa_fold_dead_n,pupa_fold_paras_n,pupa_fold_eclose_n,fold_empty_n,pupa_fold_alive_n
surface_2017_BNZ_1_1_T,leaf_2017_BNZ_1_1,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_1_1_B,leaf_2017_BNZ_1_1,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_1_2_T,leaf_2017_BNZ_1_2,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_1_2_B,leaf_2017_BNZ_1_2,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_1_3_T,leaf_2017_BNZ_1_3,T,0,0,0,0,0,0,0,0,0,0,0,1
surface_2017_BNZ_1_3_B,leaf_2017_BNZ_1_3,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_1_4_T,leaf_2017_BNZ_1_4,T,0,0,0,0,0,0,0,0,0,0,0,1
surface_2017_BNZ_1_4_B,leaf_2017_BNZ_1_4,B,0,0,0,1,0,0,0,0,0,0,0,0
surface_2017_BNZ_1_5_T,leaf_2017_BNZ_1_5,T,0,2,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_1_5_B,leaf_2017_BNZ_1_5,B,0,0,0,1,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_1_T,leaf_2017_BNZ_2_1,T,0,0,0,0,0,0,1,0,0,0,0,0
surface_2017_BNZ_2_1_B,leaf_2017_BNZ_2_1,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_2_T,leaf_2017_BNZ_2_2,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_2_B,leaf_2017_BNZ_2_2,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_3_T,leaf_2017_BNZ_2_3,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_3_B,leaf_2017_BNZ_2_3,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_4_T,leaf_2017_BNZ_2_4,T,0,1,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_4_B,leaf_2017_BNZ_2_4,B,0,0,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_5_T,leaf_2017_BNZ_2_5,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_5_B,leaf_2017_BNZ_2_5,B,0,0,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_6_T,leaf_2017_BNZ_2_6,T,0,0,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_2_6_B,leaf_2017_BNZ_2_6,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_3_1_T,leaf_2017_BNZ_3_1,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_3_1_B,leaf_2017_BNZ_3_1,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_3_2_T,leaf_2017_BNZ_3_2,T,0,0,1,0,0,0,0,1,0,0,0,1
surface_2017_BNZ_3_2_B,leaf_2017_BNZ_3_2,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_3_3_T,leaf_2017_BNZ_3_3,T,0,0,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_3_3_B,leaf_2017_BNZ_3_3,B,0,1,0,0,0,1,0,0,0,0,0,0
surface_2017_BNZ_3_4_T,leaf_2017_BNZ_3_4,T,0,1,0,0,0,0,1,0,0,0,0,0
surface_2017_BNZ_3_4_B,leaf_2017_BNZ_3_4,B,0,0,0,0,0,0,1,0,0,0,0,0
surface_2017_BNZ_3_5_T,leaf_2017_BNZ_3_5,T,0,0,0,0,0,0,0,0,1,0,0,1
surface_2017_BNZ_3_5_B,leaf_2017_BNZ_3_5,B,0,0,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_1_T,leaf_2017_BNZ_4_1,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_1_B,leaf_2017_BNZ_4_1,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_2_T,leaf_2017_BNZ_4_2,T,0,1,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_2_B,leaf_2017_BNZ_4_2,B,0,3,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_3_T,leaf_2017_BNZ_4_3,T,0,0,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_3_B,leaf_2017_BNZ_4_3,B,0,1,0,0,0,0,0,0,0,0,0,1
surface_2017_BNZ_4_4_T,leaf_2017_BNZ_4_4,T,0,0,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_4_B,leaf_2017_BNZ_4_4,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_5_T,leaf_2017_BNZ_4_5,T,0,2,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_5_B,leaf_2017_BNZ_4_5,B,0,1,3,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_6_T,leaf_2017_BNZ_4_6,T,0,0,0,0,0,0,0,0,0,0,0,1
surface_2017_BNZ_4_6_B,leaf_2017_BNZ_4_6,B,0,0,1,0,0,0,1,0,0,0,0,0
surface_2017_BNZ_4_7_T,leaf_2017_BNZ_4_7,T,0,1,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_7_B,leaf_2017_BNZ_4_7,B,0,0,0,0,0,0,1,0,0,0,0,1
surface_2017_BNZ_4_8_T,leaf_2017_BNZ_4_8,T,0,0,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_8_B,leaf_2017_BNZ_4_8,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_9_T,leaf_2017_BNZ_4_9,T,0,0,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_9_B,leaf_2017_BNZ_4_9,B,0,0,0,0,0,0,1,0,0,0,0,1
surface_2017_BNZ_4_10_T,leaf_2017_BNZ_4_10,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_10_B,leaf_2017_BNZ_4_10,B,0,0,0,0,0,0,1,0,0,0,0,0
surface_2017_BNZ_4_11_T,leaf_2017_BNZ_4_11,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_11_B,leaf_2017_BNZ_4_11,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_12_T,leaf_2017_BNZ_4_12,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_12_B,leaf_2017_BNZ_4_12,B,0,0,1,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_13_T,leaf_2017_BNZ_4_13,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_13_B,leaf_2017_BNZ_4_13,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_14_T,leaf_2017_BNZ_4_14,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_14_B,leaf_2017_BNZ_4_14,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_15_T,leaf_2017_BNZ_4_15,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2017_BNZ_4_15_B,leaf_2017_BNZ_4_15,B,0,0,0,0,0,0,0,0,0,0,0,0
